beefy	He was a big, beefy man with hardly any neck, although he did have a very large mustache.	"{'a. (牛)多肉的, 象牛肉的, 粗壮的, 结实的', ""'bi:fi"", 'beefy', 's. muscular and heavily built'}"
cheek	Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.None of them noticed a large, tawny owl flutter past the window.At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley goodbye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls.“Little tyke,” chortled Mr. Dursley as he left the house.	{'n. either side of the face below the eyes\nv. speak impudently to', 'n. 颊, 厚颜, 脸蛋\n[医] 颊', 'tʃi:k', 'cheek'}
tantrum	Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.None of them noticed a large, tawny owl flutter past the window.At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley goodbye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls.“Little tyke,” chortled Mr. Dursley as he left the house.	"{""'tæntrәm"", 'n a display of bad temper', 'n. 发脾气, 发怒\n[医] 暴怒, 发脾气', 'tantrum'}"
cereal	Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.None of them noticed a large, tawny owl flutter past the window.At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley goodbye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls.“Little tyke,” chortled Mr. Dursley as he left the house.	"{'n. 谷类食品, 谷类植物\na. 谷类的', 'cereal', ""'siәriәl"", 'n. grass whose starchy grains are used as food: wheat; rice; rye; oats; maize; buckwheat; millet\nn. a breakfast food prepared from grain\na. made of grain or relating to grain or the plants that produce it'}"
tyke	Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.None of them noticed a large, tawny owl flutter past the window.At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley goodbye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls.“Little tyke,” chortled Mr. Dursley as he left the house.	{'taik', 'tyke', 'n. 小孩子, 狗(尤指杂种狗), 卑鄙的人', 'n. a native of Yorkshire'}
peculiar	He got into his car and backed out of number four’s drive.It was on the corner of the street that he noticed the first sign of something peculiar — a cat reading a map.	"{'a. 奇特的, 罕见的, 特殊的, 特别的\nn. 特有财产, 特权', ""pi'kju:ljә"", 's. markedly different from the usual\ns. characteristic of one only; distinctive or special', 'peculiar'}"
tabby	There was a tabby cat standing on the corner of Privet Drive, but there wasn’t a map in sight.	"{'n. 平纹, 斑猫\nvt. 使起波纹\na. 平纹组织的, 起波纹的', 'tabby', 'n. a cat with a grey or tawny coat mottled with black\nn. female cat', ""'tæbi""}"
blinked	Mr. Dursley blinked and stared at the cat.	{'blinked', 'imp. & p. p. of Blink', 'bliŋkt', 'v. 眨眼睛( blink的过去式 ); 闪亮, 闪烁'}
strangely	As he sat in the usual morning traffic jam, he couldn’t help noticing that there seemed to be a lot of strangely dressed people about.	"{'adv. 奇妙地, 奇怪地, 不可思议地', 'r in a strange manner', 'strangely', ""'streindʒli""}"
huddle	He drummed his fingers on the steering wheel and his eyes fell on a huddle of these weirdos standing quite close by.	"{""'hʌdl"", 'n. (informal) a quick private conference\nn. a disorganized and densely packed crowd\nv. crowd or draw together\nv. crouch or curl up', 'huddle', 'n. 杂乱一团, 混乱, 拥挤\nvt. 把...挤在一起, 乱堆, 草率了事, 蜷曲\nvi. 挤作一团, 蜷缩'}"
whispering	They were whispering excitedly together.	"{'whispering', 'n. 低语, 私语, 耳语, 流言, 谣言, 沙沙声, 飒飒声\na. 传播流言蜚语的', 'n a light noise, like the noise of silk clothing or leaves blowing in the wind\nn speaking softly without vibration of the vocal cords\nv speak softly; in a low voice\ns making a low continuous indistinct sound', ""'(h)wispәriŋ""}"
excitedly	They were whispering excitedly together.	"{'excitedly', 'adv. 兴奋地', ""ik'saitidli"", 'r. with excitement; in an excited manner'}"
enraged	Mr. Dursley was enraged to see that a couple of them weren’t young at all; why, that man had to be older than he was, and wearing an emeraldgreen cloak!	{'v put into a rage; make violently angry\ns marked by extreme anger', 'enraged', 'enˈreɪdʒd', 'v. 使暴怒( enrage的过去式和过去分词 ); 歜; 激愤'}
cloak	People in cloaks.	{'n. anything that covers or conceals\nn. a loose outer garment\nv. cover with or as if with a cloak', 'cloak', 'klәuk', 'n. 斗蓬, 大氅, 掩护\nvt. 遮掩, 隐匿, 使披斗蓬'}
stunt	But then it struck Mr. Dursley that this was probably some silly stunt —these people were obviously collecting for something…yes, that would be it.	{'stʌnt', 'n. a difficult or unusual or dangerous feat; usually done to gain attention\nn. a creature (especially a whale) that has been prevented from attaining full growth\nv. check the growth or development of\nv. perform a stunt or stunts', 'stunt', 'n. 特技, 绝技, 花招, 噱头, 手腕, 发育不良\nvt. 阻碍成长\nvi. 表演特技'}
ninth	Dursley always sat with his back to the window in his office on the ninth floor.	{'ninth', 'num. 第九, 九分之一', 'n. position nine in a countable series of things\ns. coming next after the eighth and just before the tenth in position', 'nainθ'}
daylight	He didn’t see the owls swooping past in broad daylight, though people down in the street did; they pointed and gazed openmouthed as owl after owl sped overhead.	"{'n. 白昼, 日光\nvt. 使沐浴于日光\nvi. 享有日光', 'n. light during the daytime', 'daylight', ""'deilait""}"
openmouthed	He didn’t see the owls swooping past in broad daylight, though people down in the street did; they pointed and gazed openmouthed as owl after owl sped overhead.	"{'openmouthed', 'a. 张嘴的, 惊讶的', 's with eyes or mouth open in surprise', ""'əʊpənmaʊðd""}"
sped	He didn’t see the owls swooping past in broad daylight, though people down in the street did; they pointed and gazed openmouthed as owl after owl sped overhead.	{'speed的过去式和过去分词', 'sped', 'v move fast\nv move faster\nv move very fast\nv travel at an excessive or illegal velocity\nv cause to move faster'}
nighttime	Most of them had never seen an owl even at nighttime.	{'', 'n. 夜间', 'nighttime', 'n the time after sunset and before sunrise while it is dark outside'}
angrily	He eyed them angrily as he passed.	"{'angrily', ""'æŋgrili"", 'adv. 愤怒地', 'r. with anger'}"
uneasy	He didn’t know why, but they made him uneasy.	"{'uneasy', 'a. lacking a sense of security or affording no ease or reassurance\ns. relating to bodily unease that causes discomfort', "".ʌn'i:zi"", 'a. 心神不安的, 不自在的, 不稳定的, 不舒服的'}"
doughnut	It was on his way back past them, clutching a large doughnut in a bag, that he caught a few words of what they were saying.“The Potters, that’s right, that’s what I heard —”“ — yes, their son, Harry —”Mr.	"{'n. a small ring-shaped friedcake', ""'dәunʌt"", 'doughnut', 'n. 油炸圈饼, 环状物\n[计] 圆环图'}"
flooded	Fear flooded him.	{'', 'flooded', 'a. 洪水浸没的；浸没的, 淹没的；灌溉；充斥', 'v fill quickly beyond capacity; as with a liquid\nv cover with liquid, usually water\nv supply with an excess of\nv become filled to overflowing\ns covered with water'}
dashed	He looked back at the whisperers as if he wanted to say something to them, but thought better of it.He dashed back across the road, hurried up to his office, snapped at his secretary not to disturb him, seized his telephone, and had almost finished dialing his home number when he changed his mind.	{'dashed', 'dæʃt', 'n. 虚线', 's. having gaps or spaces'}
hurried	He looked back at the whisperers as if he wanted to say something to them, but thought better of it.He dashed back across the road, hurried up to his office, snapped at his secretary not to disturb him, seized his telephone, and had almost finished dialing his home number when he changed his mind.	"{'hurried', 'a. 匆忙的, 仓促的, 草率的', 'a. moving rapidly or performed quickly or in great haste', ""'hʌrid""}"
snapped	He looked back at the whisperers as if he wanted to say something to them, but thought better of it.He dashed back across the road, hurried up to his office, snapped at his secretary not to disturb him, seized his telephone, and had almost finished dialing his home number when he changed his mind.	"{'snapped', '', 'v. 啪啪作响；突然中断；猛咬；给…拍快照（snap的过去分词）', ""v utter in an angry, sharp, or abrupt tone\nv separate or cause to separate abruptly\nv break suddenly and abruptly, as under tension\nv move or strike with a noise\nv close with a snapping motion\nv make a sharp sound\nv move with a snapping sound\nv to grasp hastily or eagerly\nv put in play with a snap\nv cause to make a snapping sound\nv lose control of one's emotions\nv bring the jaws together\nv record on photographic film""}"
disturb	He looked back at the whisperers as if he wanted to say something to them, but thought better of it.He dashed back across the road, hurried up to his office, snapped at his secretary not to disturb him, seized his telephone, and had almost finished dialing his home number when he changed his mind.	"{""dis'tә:b"", 'disturb', 'v. move deeply\nv. damage as if by shaking or jarring', 'vt. 扰乱, 妨碍, 使不安\n[法] 滋扰, 扰乱'}"
dialing	He looked back at the whisperers as if he wanted to say something to them, but thought better of it.He dashed back across the road, hurried up to his office, snapped at his secretary not to disturb him, seized his telephone, and had almost finished dialing his home number when he changed his mind.	{'', 'dialing', 'n. 拨号\n[计] 拨号, 主叫', 'v operate a dial to select a telephone number\nv choose by means of a dial'}
nephew	Come to think of it, he wasn’t even sure his nephew was called Harry.	"{""'nefju:"", 'nephew', 'n. a son of your brother or sister', 'n. 侄子, 外甥'}"
worrying	There was no point in worrying Mrs. Dursley; she always got so upset at any mention of her sister.	"{'n. the act of moving something by repeated tugs or pushes', 'worrying', ""'wʌriiŋ"", 'a. 使人烦恼的, 忧虑重重的'}"
violet	It was a few seconds before Mr. Dursley realized that the man was wearing a violet cloak.	"{'n. 堇菜, 紫罗兰\na. 堇菜科的, 紫罗兰色的', 'violet', ""'vaiәlit"", 'n. any of numerous low-growing violas with small flowers\nn. a variable color that lies beyond blue in the spectrum'}"
squeaky	On the contrary, his face split into a wide smile and he said in a squeaky voice that made passersby stare, “Don’t be sorry, my dear sir, for nothing could upset me today!	"{""'skwi:ki"", 'squeaky', 's having or making a high-pitched sound such as that made by a mouse or a rusty hinge', 'a. 吱吱响的, 发轧声的'}"
stare	Mr. Dursley blinked and stared at the cat.	"{'vi. 注视, 凝视, 瞪视, 显眼\nvt. 盯\nn. 凝视', ""n. a fixed look with eyes open wide\nv. fixate one's eyes"", 'stare', 'stєә'}"
rooted	Dursley stood rooted to the spot.	"{'a. 生根的, 有根的, 根深蒂固的', ""v take root and begin to grow\nv come into existence, originate\nv plant by the roots\nv dig with the snout\nv become settled or established and stable in one's residence or life style\nv cause to take roots\ns absolutely still"", 'rooted', ""'ru:tid""}"
rattled	He was rattled.	"{""v make short successive sounds\nv shake and cause to make a rattling noise\ns thrown into a state of agitated confusion; (`rattled' is an informal term)"", 'rattled', 'a. 慌乱的, 激动得不知所措的, 愚蠢的', ""'rætld""}"
driveway	He hurried to his car and set off for home, hoping he was imagining things, which he had never hoped before, because he didn’t approve of imagination.As he pulled into the driveway of number four, the first thing he saw — and it didn’t improve his mood — was the tabby cat he’d spotted that morning.	"{""'draivwei"", 'n. 车道', 'n. a road leading up to a private house', 'driveway'}"
spotted	He hurried to his car and set off for home, hoping he was imagining things, which he had never hoped before, because he didn’t approve of imagination.As he pulled into the driveway of number four, the first thing he saw — and it didn’t improve his mood — was the tabby cat he’d spotted that morning.	"{'v catch sight of\nv detect with the senses\nv mar or impair with a flaw\nv make a spot or mark onto\nv become spotted\nv mark with a spot or spots so as to allow easy recognition\ns having spots or patches (small areas of contrasting color or texture)', 'a. 有斑点的, 斑纹的, 弄污了的', 'spotted', ""'spɒtid""}"
stern	It just gave him a stern look.	{'n. the rear part of a ship\nn. United States concert violinist (born in Russia in 1920)\ns. severe and unremitting in making demands', 'stern', 'n. 尾部, 船尾, 臀\na. 严厉的, 严格的, 坚定的, 坚决的', 'stә:n'}
Trying	Trying to pull himself together, he let himself into the house.	"{'s. hard to endure', 'trying', ""'traiiŋ"", 'a. 难受的, 难堪的\n[法] 裁决, 审判, 审理; 使人痛苦的, 难堪的, 难处的'}"
unusually	When Dudley had been put to bed, he went into the living room in time to catch the last report on the evening news:“And finally, birdwatchers everywhere have reported that the nation’s owls have been behaving very unusually today.	"{""ʌn'ju:ʒәli"", 'unusually', 'r. to a remarkable degree or extent', 'adv. 不寻常地, 异乎寻常地, (非正式)非常'}"
newscaster	Experts are unable to explain why the owls have suddenly changed their sleeping pattern.” The newscaster allowed himself a grin.	"{'n. 新闻广播员, 新闻评论广播员', ""'nju:z.kɑ:stә"", 'n. someone who broadcasts the news', 'newscaster'}"
grin	Experts are unable to explain why the owls have suddenly changed their sleeping pattern.” The newscaster allowed himself a grin.	{'n. 露齿笑\nv. 露齿而笑', 'grin', 'v. to draw back the lips and reveal the teeth, in a smile, grimace, or snarl'}
weatherman	Going to be any more showers of owls tonight, Jim?”“Well, Ted,” said the weatherman, “I don’t know about that, but it’s not only the owls that have been acting oddly today.	"{'n. 气象员；天气预报员', 'n. predicts the weather', 'weatherman', ""'weðәmæn""}"
oddly	Going to be any more showers of owls tonight, Jim?”“Well, Ted,” said the weatherman, “I don’t know about that, but it’s not only the owls that have been acting oddly today.	"{'oddly', 'r in a manner differing from the usual or expected\nr in a strange manner', ""'ɒdli"", 'adv. 奇怪地'}"
Yorkshire	Viewers as far apart as Kent, Yorkshire, and Dundee have been phoning in to tell me that instead of the rain I promised yesterday, they’ve had a downpour of shooting stars!	"{""'jɔ:kʃә"", 'n. 约克郡, 约克王朝', 'Yorkshire', 'n. a former large county in northern England; in 1974 it was divided into three smaller counties'}"
downpour	Viewers as far apart as Kent, Yorkshire, and Dundee have been phoning in to tell me that instead of the rain I promised yesterday, they’ve had a downpour of shooting stars!	"{'downpour', 'n. 倾盆大雨；注下', 'n. a heavy rain', ""'daunpɔ:""}"
armchair	Dursley sat frozen in his armchair.	"{'armchair', 'n. chair with a support on each side for arms', "".ɑ:m'tʃєә"", 'n. 扶手椅'}"
Britain	Shooting stars all over Britain?	"{""n a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom"", 'Britain', ""'britәn"", 'n. 英国'}"
whisper	They were whispering excitedly together.	"{""'hwispә"", 'n. speaking softly without vibration of the vocal cords\nv. speak softly; in a low voice', 'whisper', 'n. 耳语, 密谈, 谣传, 沙沙声\nvi. 耳语, 密谈, 沙沙地响\nvt. 低声说'}"
nervously	He cleared his throat nervously.	{'', 'r. in an anxiously nervous manner\nr. with nervous excitement', 'adv. 焦急地；神经质地；提心吊胆地', 'nervously'}
sharply	After all, they normally pretended she didn’t have a sister.“No,” she said sharply.	"{'sharply', 'adv. 锐利地, 严厉地, 厉害地\n[经] 剧烈地', 'r. in a well delineated manner\nr. changing suddenly in direction and degree', ""'ʃɑ:pli""}"
pursed	Dursley sipped her tea through pursed lips.	"{'', 'vt. 使皱起, 噘起（purse的过去式与过去分词形式）', ""v contract one's lips into a rounded shape\nv gather or contract into wrinkles or folds; pucker"", 'pursed'}"
casually	Instead he said, as casually as he could, “Their son — he’d be about Dudley’s age now, wouldn’t he?”“I suppose so,” said Mrs. Dursley stiffly.“What’s his name again?	"{'adv. 偶然地, 临时地, 随便地', 'casually', ""'kæʒjuәli"", 'r. not methodically or according to plan\nr. in an unconcerned manner'}"
stiffly	Instead he said, as casually as he could, “Their son — he’d be about Dudley’s age now, wouldn’t he?”“I suppose so,” said Mrs. Dursley stiffly.“What’s his name again?	"{""'stifli"", 'stiffly', 'r. in a stiff manner', 'adv. 呆板地, 顽固地, 僵硬地'}"
sinking	Nasty, common name, if you ask me.”“Oh, yes,” said Mr. Dursley, his heart sinking horribly.	"{""'siŋkiŋ"", 'n. 沉没, 降低, 衰颓感\n[法] 偿还债务', 'n. a descent as through liquid (especially through water)\nn. a slow fall or decline (as for lack of strength)\nn. a feeling caused by uneasiness or apprehension', 'sinking'}"
horribly	Nasty, common name, if you ask me.”“Oh, yes,” said Mr. Dursley, his heart sinking horribly.	"{'horribly', 'adv. 可怕地, 非常地', 'r of a dreadful kind', ""'hɒrәbli""}"
upstairs	“Yes, I quite agree.”He didn’t say another word on the subject as they went upstairs to bed.	"{'upstairs', 'n. the part of a building above the ground floor\na. on or of upper floors of a building\nr. on a floor above\nr. with respect to the mind', ""'ʌp'stєәz"", 'a. 楼上的\nadv. 在楼上, 向楼上, 处于更高地位\nn. 楼层'}"
crept	While Mrs. Dursley was in the bathroom, Mr. Dursley crept to the bedroom window and peered down into the front garden.	{'crept', 'krept', 'v move slowly; in the case of people or animals with the body near the ground\nv to go stealthily or furtively\nv grow or spread, often in such a way as to cover (a surface)\nv show submission or fear', 'creep的过去式'}
staring	It was staring down Privet Drive as though it were waiting for something.Was he imagining things?	"{'a. 凝视的, 瞪着眼的, 显眼的', 'staring', ""v look at with fixed eyes\nv fixate one's eyes\nv feature as the star\nv be the star in a performance\nv mark with an asterisk\ns (used of eyes) open and fixed as if in fear or wonder\ns without qualification; used informally as (often pejorative) intensifiers"", ""'stєәriŋ""}"
asleep	Mrs. Dursley fell asleep quickly but Mr. Dursley lay awake, turning it all over in his mind.	"{'a. 睡着的, 长眠的, 麻木的\nadv. 熟睡地', 'a. in a state of sleep\ns. lacking sensation\ns. dead\nr. into a sleeping state', ""ә'sli:p"", 'asleep'}"
awake	Mrs. Dursley fell asleep quickly but Mr. Dursley lay awake, turning it all over in his mind.	"{""ә'weik"", 'a. 醒着的\nvt. 唤醒, 唤起, 使意识到\nvi. 醒来, 被唤起, 意识到', 'a. not in a state of sleep; completely conscious', 'awake'}"
comforting	His last, comforting thought before he fell asleep was that even if the Potters were involved, there was no reason for them to come near him and Mrs. Dursley.	"{'s. providing freedom from worry\ns. affording comfort or solace', 'comforting', 'a. 安慰的, 令人鼓舞的', ""'kʌmfәtiŋ""}"
drifting	Dursley might have been drifting into an uneasy sleep, but the cat on the wall outside was showing no sign of sleepiness.	"{""'driftiŋ"", '[计] 漂移的\n[医] 倾斜, 漂移', 'n. aimless wandering from place to place', 'drifting'}"
sleepiness	Dursley might have been drifting into an uneasy sleep, but the cat on the wall outside was showing no sign of sleepiness.	"{'n. 睡意\n[医] 瞌睡, 欲睡', ""'sli:pinis"", 'n. a very sleepy state', 'sleepiness'}"
statue	It was sitting as still as a statue, its eyes fixed unblinkingly on the far corner of Privet Drive.	"{'n. a sculpture representing a human or animal', 'statue', ""'stætju"", 'vt. 以雕像装饰\nn. 雕像'}"
unblinkingly	It was sitting as still as a statue, its eyes fixed unblinkingly on the far corner of Privet Drive.	{'', 'unblinkingly', 'r. showing no emotion', '不眨眼地'}
quiver	It didn’t so much as quiver when a car door slammed on the next street, nor when two owls swooped overhead.	"{""'kwivә"", 'n. 震动, 颤抖, 箭袋\nvi. 颤抖, 振动\nvt. 使颤动\na. 敏捷的', 'quiver', 'n. case for holding arrows\nv. shake with fast, tremulous movements'}"
silently	In fact, it was nearly midnight before the cat moved at all.A man appeared on the corner the cat had been watching, appeared so suddenly and silently you’d have thought he’d just popped out of the ground.	"{'silently', 'adv. 默默地, 静静地', 'r without speaking', ""'sailәntli""}"
beard	He was tall, thin, and very old, judging by the silver of his hair and beard, which were both long enough to tuck into his belt.	"{'n. 胡须\nvt. 抓住胡须, 公开反对', 'biәd', ""n. the hair growing on the lower part of a man's face\nn. a tuft or growth of hairs or bristles on certain plants such as iris or grasses\nn. a person who diverts suspicion from someone (especially a woman who accompanies a male homosexual in order to conceal his homosexuality)\nn. hairy growth on or near the face of certain mammals"", 'beard'}"
tuck	He was tall, thin, and very old, judging by the silver of his hair and beard, which were both long enough to tuck into his belt.	{'n. eatables (especially sweets)\nn. (sports) a bodily position adopted in some sports (such as diving or skiing) in which the knees are bent and the thighs are drawn close to the chest\nn. a narrow flattened pleat or fold that is stitched in place\nv. fit snugly into', 'n. 缝褶, 活力, 鼓声, 船尾突出部, 食品\nvt. 打褶, 卷起, 挤进, 塞, 收藏\nvi. 缝褶裥, 缩拢', 'tuck', 'tʌk'}
swept	He was wearing long robes, a purple cloak that swept the ground, and highheeled, buckled boots.	{'swept', 'a. possessing sweep', 'sweep的过去式和过去分词'}
buckled	He was wearing long robes, a purple cloak that swept the ground, and highheeled, buckled boots.	"{""'bʌkld"", 'buckled', 'v fasten with a buckle or buckles\nv fold or collapse\nv bend out of shape, as under pressure or from heat', 'a. 有扣的'}"
sparkling	His blue eyes were light, bright, and sparkling behind halfmoon spectacles and his nose was very long and crooked, as though it had been broken at least twice.	"{'sparkling', 'a. 闪闪发光的, 闪烁的, 闪烁着才华的', 's. shining with brilliant points of light like stars\na. used of wines and waters; charged naturally or artificially with carbon dioxide', ""'spɑ:liŋ""}"
spectacle	His blue eyes were light, bright, and sparkling behind halfmoon spectacles and his nose was very long and crooked, as though it had been broken at least twice.	"{'n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示', ""n. something or someone seen (especially a notable or unusual sight)\nn. an elaborate and remarkable display on a lavish scale\nn. a blunder that makes you look ridiculous; used in the phrase `make a spectacle of' yourself"", 'spectacle', ""'spektәkl""}"
crooked	His blue eyes were light, bright, and sparkling behind halfmoon spectacles and his nose was very long and crooked, as though it had been broken at least twice.	"{'a. having or marked by bends or angles; not straight or aligned\na. not straight; dishonest or immoral or evasive', 'a. 弯曲的, 歪的, 邪恶的', ""'krukid"", 'crooked'}"
unwelcome	This man’s name was Albus Dumbledore.Albus Dumbledore didn’t seem to realize that he had just arrived in a street where everything from his name to his boots was unwelcome.	"{'unwelcome', 'a. not welcome; not giving pleasure or received with pleasure\ns. not welcome', ""ʌn'welkәm"", 'a. 不受欢迎的, 讨厌的\nn. 冷淡\nvt. 冷淡地对待, 冷淡地接受'}"
amuse	For some reason, the sight of the cat seemed to amuse him.	"{""ә'mju:z"", 'vt. 消遣, 娱乐, 使发笑', 'amuse', 'v. occupy in an agreeable, entertaining or pleasant fashion\nv. make (somebody) laugh'}"
pavement	If anyone looked out of their window now, even beadyeyed Mrs. Dursley, they wouldn’t be able to see anything that was happening down on the pavement.	"{""'peivmәnt"", 'n. the paved surface of a thoroughfare', 'n. 路面, 人行道, 铺面路, 铺路材料', 'pavement'}"
slipped	Dumbledore slipped the PutOuter back inside his cloak and set off down the street toward number four, where he sat down on the wall next to the cat.	"{'', 'slipped', ""v move stealthily\nv insert inconspicuously or quickly or quietly\nv move obliquely or sideways, usually in an uncontrolled manner\nv get worse\nv move smoothly and easily\nv to make a mistake or be incorrect\nv pass on stealthily\nv move easily\nv cause to move with a smooth or sliding motion\nv pass out of one's memory\nv move out of position"", 'a. 打滑的'}"
smiling	Instead he was smiling at a rather severelooking woman who was wearing square glasses exactly the shape of the markings the cat had had around its eyes.	"{""'smailiŋ"", ""n a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement\nv change one's facial expression by spreading the lips, often to signal pleasure\nv express with a smile\ns smiling with happiness or optimism"", 'smiling', 'a. 微笑的, 欢快的'}"
